id	time	stream	text	tu	rel	ant	context
1	2018-08-01 14:43:50.96	DM->CMD	"calibrating. . ."	1	0	ack-doing	None
2	2018-08-01 14:43:51.77	DM->RN	"calibrate"	1	0	translation-r-direct	None
3	2018-08-01 14:44:33.45	CMD	"<audio sync in three two one>"	X-CMD	None	None	None
4	2018-08-01 14:44:33.87	RN	"<audio sync in three two one>"	X-CMD	None	None	None
5	2018-08-01 14:44:36.92	RN	"<loud noise>"	X-CMD	None	None	None
6	2018-08-01 14:44:36.92	CMD	"<loud noise>"	X-CMD	None	None	None
7	2018-08-01 14:44:44.68	DM->CMD	"calibration complete"	1	0	ack-done	None
8	2018-08-01 14:44:57.58	CMD	"i am ready"	2	None	None	None
9	2018-08-01 14:44:58.70	DM->RN	"participant is ready"	2	8	translation-r-direct	None
10	2018-08-01 14:45:01.54	CMD	"<notification sound>"	X-CMD	None	None	None
11	2018-08-01 14:45:01.73	DM->CMD	"I'm also ready.  <beep>"	2	8	reciprocal	None
12	2018-08-01 14:45:04.19	CMD	"how you doing today robot"	3	None	None	None
13	2018-08-01 14:45:07.65	DM->CMD	"Hi!"	3	12	reciprocal	None
14	2018-08-01 14:45:15.29	DM->CMD	"What should we do next?  <beep>"	4	None	None	None
15	2018-08-01 14:45:16.33	CMD	"that's a good question"	4	14	nar	None
16	2018-08-01 14:45:18.57	CMD	"i think we should take a picture first"	4	14	answer	None
17	2018-08-01 14:45:24.20	DM->CMD	"ok"	4	16	ack-wilco	None
18	2018-08-01 14:45:26.47	DM->RN	"send image"	4	16	translation-r-direct	None
19	2018-08-01 14:45:28.94	DM->CMD	"I will send a picture"	4	16	ack-wilco	None
20	2018-08-01 14:45:29.39	RN	"sent"	4	18	ack-done	None
21	2018-08-01 14:45:30.76	DM->CMD	"sent"	4	20	translation-l	None
22	2018-08-01 14:45:35.39	CMD	"okay now turn to the northwest"	5	None	None	None
23	2018-08-01 14:45:38.20	CMD	"and take another picture please"	5	22	continue	None
24	2018-08-01 14:45:41.60	DM->CMD	"processing. . ."	5	23*	processing	None
25	2018-08-01 14:45:47.32	DM->RN	"turn left 45 degrees"	5	22	translation-r-situated	None
26	2018-08-01 14:45:48.97	DM->RN	"then. . ."	5	25	link-next	None
27	2018-08-01 14:45:50.13	DM->RN	"send image"	5	23	translation-r-direct	None
28	2018-08-01 14:45:52.56	DM->CMD	"executing. . ."	5	23*	ack-doing	None
29	2018-08-01 14:45:56.19	RN	"done and sent"	5	27*	ack-done	None
30	2018-08-01 14:45:59.08	DM->CMD	"done, sent"	5	29	translation-l	None
31	2018-08-01 14:46:06.80	CMD	"okay now turn south"	6	None	None	None
32	2018-08-01 14:46:08.85	CMD	"and take a picture"	6	31	continue	None
33	2018-08-01 14:46:11.09	DM->CMD	"processing. . ."	6	32*	processing	None
34	2018-08-01 14:46:15.08	DM->RN	"turn to face South"	6	31	translation-r-direct	None
35	2018-08-01 14:46:16.67	DM->RN	"then. . ."	6	34	link-next	None
36	2018-08-01 14:46:17.55	DM->RN	"send image"	6	32	translation-r-direct	None
37	2018-08-01 14:46:26.09	RN	"done and sent"	6	36*	ack-done	None
38	2018-08-01 14:46:27.80	DM->CMD	"I turned to face South"	6	37	translation-l-partial	None
39	2018-08-01 14:46:29.31	DM->CMD	"sent"	6	38	continue	None
40	2018-08-01 14:46:33.07	CMD	"okay turn north"	7	None	None	None
41	2018-08-01 14:46:35.95	CMD	"and then go forward as far as you can"	7	40	continue	None
42	2018-08-01 14:46:37.84	DM->RN	"turn to face North"	7	40	translation-r-direct	None
43	2018-08-01 14:46:41.34	DM->CMD	"ok"	7	41*	ack-wilco	None
44	2018-08-01 14:46:47.25	RN	"done"	7	42	ack-done	None
45	2018-08-01 14:46:50.97	DM->RN	"move into TV room"	7	41	translation-r-landmark	None
46	2018-08-01 14:47:00.55	RN	"done"	7	45	ack-done	None
47	2018-08-01 14:47:02.24	DM->CMD	"done"	7	46	translation-l	None
48	2018-08-01 14:47:05.86	CMD	"take a picture"	8	None	None	None
49	2018-08-01 14:47:11.40	DM->RN	"send image"	8	48	translation-r-direct	None
50	2018-08-01 14:47:14.90	RN	"sent"	8	49	ack-done	None
51	2018-08-01 14:47:16.24	DM->CMD	"sent"	8	50	translation-l	None
52	2018-08-01 14:47:29.19	CMD	"move forward until you hit that desk"	9	None	None	None
53	2018-08-01 14:47:35.92	DM->CMD	"processing. . ."	9	52	processing	None
54	2018-08-01 14:47:41.46	DM->RN	"move to TV"	9	52	translation-r-landmark	None
55	2018-08-01 14:47:50.17	RN	"done"	9	54	ack-done	None
56	2018-08-01 14:47:51.71	DM->CMD	"done"	9	55	translation-l	None
57	2018-08-01 14:47:55.21	CMD	"now turn northwest"	10	None	None	None
58	2018-08-01 14:47:57.15	CMD	"and take a picture"	10	57	continue	None
59	2018-08-01 14:48:00.90	DM->CMD	"ok"	10	58*	ack-wilco	None
60	2018-08-01 14:48:11.44	DM->RN	"turn left 50 degrees"	10	57	translation-r-situated	None
61	2018-08-01 14:48:13.33	DM->RN	"then. . ."	10	60	link-next	None
62	2018-08-01 14:48:14.39	DM->RN	"send image"	10	58	translation-r-direct	None
63	2018-08-01 14:48:18.17	RN	"done and sent"	10	62*	ack-done	None
64	2018-08-01 14:48:22.08	DM->CMD	"done, sent"	10	63	translation-l	None
65	2018-08-01 14:48:32.82	CMD	"move forward about <pause> ten feet"	11	None	None	None
66	2018-08-01 14:48:38.08	DM->CMD	"ok"	11	65	ack-wilco	None
67	2018-08-01 14:48:43.49	DM->RN	"move forward 10 feet"	11	65	translation-r-direct	None
68	2018-08-01 14:48:54.88	RN	"done"	11	67	ack-done	None
69	2018-08-01 14:48:56.06	DM->CMD	"I moved forward 10 feet"	11	68	translation-l	None
70	2018-08-01 14:49:04.68	CMD	"turn south"	12	None	None	None
71	2018-08-01 14:49:05.62	CMD	"and move forward about <pause> three feet"	12	70	continue	None
72	2018-08-01 14:49:14.02	DM->CMD	"I will turn to face South"	12	70	ack-wilco	None
73	2018-08-01 14:49:14.77	DM->RN	"turn to face South"	12	70	translation-r-direct	None
74	2018-08-01 14:49:16.29	DM->RN	"then. . ."	12	73	link-next	None
75	2018-08-01 14:49:19.47	DM->RN	"move forward 3 feet"	12	71	translation-r-direct	None
76	2018-08-01 14:49:26.34	RN	"done"	12	75*	ack-done	None
77	2018-08-01 14:49:29.50	DM->CMD	"done"	12	76	translation-l	None
78	2018-08-01 14:49:30.71	CMD	"take a picture"	13	None	None	None
79	2018-08-01 14:49:31.55	CMD	"and then turn east"	13	78	continue	None
80	2018-08-01 14:49:37.00	DM->CMD	"processing. . ."	13	79*	processing	None
81	2018-08-01 14:49:38.90	DM->RN	"send image"	13	78	translation-r-direct	None
82	2018-08-01 14:49:40.45	DM->RN	"then. . ."	13	81	link-next	None
83	2018-08-01 14:49:42.85	DM->RN	"turn to face East"	13	79	translation-r-direct	None
84	2018-08-01 14:49:53.35	RN	"done"	13	83	ack-done	None
85	2018-08-01 14:49:54.77	RN	"sent"	13	81	ack-done	None
86	2018-08-01 14:49:55.73	DM->CMD	"done, sent"	13	85*	translation-l	None
87	2018-08-01 14:49:58.56	CMD	"okay now take another picture"	14	None	None	None
88	2018-08-01 14:50:01.50	DM->RN	"send image"	14	87	translation-r-direct	None
89	2018-08-01 14:50:02.87	RN	"done and sent"	14	88	ack-done	None
90	2018-08-01 14:50:04.56	DM->CMD	"sent"	14	89	translation-l	None
91	2018-08-01 14:50:17.41	CMD	"okay turn north"	15	None	None	None
92	2018-08-01 14:50:18.34	CMD	"and then take a picture"	15	91	continue	None
93	2018-08-01 14:50:21.54	DM->CMD	"ok"	15	92*	ack-wilco	None
94	2018-08-01 14:50:23.84	DM->RN	"turn to face North"	15	91	translation-r-direct	None
95	2018-08-01 14:50:26.33	DM->RN	"send image"	15	92	translation-r-direct	None
96	2018-08-01 14:50:28.57	DM->CMD	"executing. . ."	15	92*	ack-doing	None
97	2018-08-01 14:50:33.99	RN	"done and sent"	15	95*	ack-done	None
98	2018-08-01 14:50:37.11	DM->CMD	"done, sent"	15	97	translation-l	None
99	2018-08-01 14:50:47.37	CMD	"okay move forward until you come to a doorway"	16	None	None	None
100	2018-08-01 14:50:52.98	DM->CMD	"processing. . ."	16	99	processing	None
101	2018-08-01 14:51:09.46	DM->RN	"move to Dark room - hall doorway"	16	99	translation-r-landmark	None
102	2018-08-01 14:51:12.67	DM->CMD	"moving. . ."	16	99	ack-doing	None
103	2018-08-01 14:51:20.91	RN	"done"	16	101	ack-done	None
104	2018-08-01 14:51:23.40	DM->CMD	"done"	16	103	translation-l	None
105	2018-08-01 14:51:28.82	CMD	"okay turn east"	17	None	None	None
106	2018-08-01 14:51:30.54	CMD	"and then take a picture"	17	105	continue	None
107	2018-08-01 14:51:33.59	DM->CMD	"ok"	17	106*	ack-wilco	None
108	2018-08-01 14:51:36.32	DM->RN	"turn to face East"	17	105	translation-r-direct	None
109	2018-08-01 14:51:37.65	DM->RN	"then. . ."	17	108	link-next	None
110	2018-08-01 14:51:38.74	DM->RN	"send image"	17	106	translation-r-direct	None
111	2018-08-01 14:51:39.88	DM->CMD	"I will send a picture"	17	106	ack-wilco	None
112	2018-08-01 14:51:46.20	RN	"done and sent"	17	110*	ack-done	None
113	2018-08-01 14:51:47.59	DM->CMD	"done, sent"	17	112	translation-l	None
114	2018-08-01 14:51:59.79	CMD	"move forward until you hit something"	18	None	None	None
115	2018-08-01 14:52:05.05	DM->CMD	"ok"	18	114	ack-wilco	None
116	2018-08-01 14:52:17.19	DM->RN	"move to Dark room crate"	18	114	translation-r-landmark	None
117	2018-08-01 14:52:20.83	DM->CMD	"moving. . ."	18	114	ack-doing	None
118	2018-08-01 14:52:25.06	RN	"done"	18	116	ack-done	None
119	2018-08-01 14:52:27.43	DM->CMD	"done"	18	118	translation-l	None
120	2018-08-01 14:52:32.20	CMD	"turn southeast"	19	None	None	None
121	2018-08-01 14:52:33.81	CMD	"and take a picture"	19	120	continue	None
122	2018-08-01 14:52:35.61	CMD	"and then turn north"	19	121	continue	None
123	2018-08-01 14:52:38.36	DM->CMD	"ok"	19	122*	ack-wilco	None
124	2018-08-01 14:52:47.90	DM->RN	"turn right 45 degrees"	19	120	translation-r-situated	None
125	2018-08-01 14:52:49.72	DM->RN	"then. . ."	19	124	link-next	None
126	2018-08-01 14:52:50.92	DM->RN	"send image"	19	121	translation-r-direct	None
127	2018-08-01 14:52:52.55	DM->RN	"then. . ."	19	126	link-next	None
128	2018-08-01 14:52:53.67	DM->RN	"turn to face North"	19	122	translation-r-direct	None
129	2018-08-01 14:52:56.23	DM->CMD	"executing. . ."	19	122*	ack-doing	None
130	2018-08-01 14:52:57.85	RN	"done"	19	124	ack-done	None
131	2018-08-01 14:53:02.16	RN	"done and sent"	19	128*	ack-done	None
132	2018-08-01 14:53:04.69	DM->CMD	"done, sent"	19	131*	translation-l	None
133	2018-08-01 14:53:05.76	CMD	"turn southwest"	20	None	None	None
134	2018-08-01 14:53:07.17	CMD	"and take a picture"	20	133	continue	None
135	2018-08-01 14:53:07.94	CMD	"and then turn north"	20	134	continue	None
136	2018-08-01 14:53:10.20	DM->CMD	"processing. . ."	20	135*	processing	None
137	2018-08-01 14:53:25.52	DM->RN	"turn left 135 degrees"	20	133	translation-r-situated	None
