id	time	stream	text
0	0	CMD	"(calibrate)"
1	0	DM->RN	"calibrate"
2	0	DM->CMD	"calibrating. . ."
3	12.02	RN	"done"
4	14.06	DM->CMD	"calibration complete"
5	24.47	CMD	"robot send a picture"
6	28.91	DM->RN	"send image"
7	30.18	RN	"sent"
8	31.33	DM->CMD	"sent"
9	38.75	CMD	"robot turn to the left"
10	41.1799999999999	CMD	"and take a picture"
11	45.92	DM->CMD	"I'm unsure where or when I should stop turning.  <beep>"
12	46.99	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"
13	51.36	CMD	"<pause> turn ninety degrees to the left"
14	54.42	CMD	"and take a picture"
15	56.16	DM->CMD	"ok"
16	60.13	DM->RN	"turn left 90 degrees"
17	61.03	DM->CMD	"I will turn left 90 degrees"
18	62.46	DM->CMD	"and. . ."
19	63.3	DM->RN	"then. . ."
20	64.59	DM->RN	"send image"
21	65.44	DM->CMD	"I will send a picture"
22	66.66	DM->CMD	"turning. . ."
23	82.01	RN	"done"
24	83.4	DM->CMD	"done, sent"
25	89	CMD	"turn one eighty to the right"
26	92.31	CMD	"and take a picture"
27	93.93	DM->CMD	"ok"
28	96.78	DM->RN	"turn right 180"
29	98.13	DM->RN	"then. . ."
30	99.4	DM->RN	"send image"
31	100.82	DM->CMD	"turning. . ."
32	125.61	RN	"done and sent"
33	126.59	DM->CMD	"done, sent"
34	132.21	CMD	"turn ninety degrees <pause> left <pause>"
35	139.4	DM->CMD	"ok"
36	144.62	DM->RN	"turn left 90 degrees"
37	147.15	DM->CMD	"turning. . ."
38	156.02	CMD	"take a picture"
39	157.66	RN	"done"
40	158.93	DM->CMD	"I turned left 90 degrees"
41	160.83	DM->RN	"send image"
42	162.06	RN	"sent"
43	163.24	DM->CMD	"sent"
44	164.43	CMD	"move through the first doorway"
45	171.52	DM->CMD	"processing. . ."
46	175.88	DM->RN	"move into TV room"
47	180.16	DM->CMD	"moving. . ."
48	186.7	CMD	"stop on the other side of the door"
49	194.91	RN	"done"
50	195.89	DM->CMD	"done"
51	195.92	CMD	"send a picture"
52	198.35	DM->RN	"send image"
53	199.25	RN	"sent"
54	200.47	DM->CMD	"sent"
55	225.84	CMD	"what about move two feet closer"
56	228.6	CMD	"and take a picture"
57	233.24	DM->CMD	"ok, I think I got it."
58	236.67	DM->RN	"move forward 2 feet"
59	237.7	DM->CMD	"I will move forward 2 feet"
60	239.2	DM->CMD	"and. . ."
61	239.93	DM->RN	"then. . ."
62	241.15	DM->RN	"send image"
63	242.06	DM->CMD	"I will send a picture"
64	244.88	RN	"done and sent"
65	247.18	DM->CMD	"done, sent"
66	274.32	CMD	"robot move a couple of inches closer <pause>"
67	278.29	CMD	"and send a pic picture"
68	280.26	DM->CMD	"ok"
69	289.07	DM->RN	"move forward 2 inches"
70	294.6	RN	"uh done"
71	295.11	DM->CMD	"I will move forward 2 inches"
72	298.09	DM->RN	"send image"
73	299.95	RN	"sent"
74	301.32	DM->CMD	"done, sent"
75	328.72	CMD	"robot move <pause>"
76	331.37	CMD	"turn <pause> robot turn to the <pause> left forty five degrees"
77	339.17	CMD	"and take a picture"
78	341.06	DM->CMD	"ok"
79	344.48	DM->RN	"turn left 45 degrees"
80	345.3	DM->RN	"then. . ."
81	346.34	DM->RN	"send image"
82	348.06	DM->CMD	"turning. . ."
83	356.4	RN	"done and sent"
84	358.51	DM->CMD	"done, sent"
85	372.81	CMD	"back up two feet"
86	375.12	CMD	"and take a picture"
87	377.51	DM->CMD	"ok"
88	385.14	DM->RN	"move back 2 feet"
89	386.29	DM->RN	"then. . ."
90	387.38	DM->RN	"send image"
91	389.37	DM->CMD	"moving. . ."
92	392.17	RN	"done and sent"
93	393.71	DM->CMD	"done, sent"
94	398.02	CMD	"robot move through the doorway"
95	400.34	CMD	"and stop on the other side"
96	406.45	DM->CMD	"processing. . ."
97	412.66	DM->CMD	"The one directly to my left, or ahead and to the left?  <beep>"
98	417.19	CMD	"ahead and to the left"
99	421.7	DM->CMD	"processing. . ."
100	426.55	DM->RN	"move into TV hallway"
101	431.4	DM->CMD	"moving. . ."
102	446.82	RN	"done"
103	448.15	DM->CMD	"done"
104	450.54	CMD	"<pause> send a picture"
105	453.49	DM->RN	"send image"
106	454.6	RN	"sent"
107	455.72	DM->CMD	"sent"
108	456.96	CMD	"<pause> turn forty five degrees to the right"
109	461.07	CMD	"and take a picture"
110	462.58	DM->CMD	"ok"
111	466.63	DM->RN	"turn right 45 degrees"
112	467.78	DM->CMD	"I will turn right 45 degrees"
113	468.82	DM->CMD	"and. . ."
114	469.42	DM->RN	"then. . ."
115	470.59	DM->RN	"send image"
116	471.14	DM->CMD	"I will send a picture"
117	477.66	RN	"done and sent"
118	478.49	DM->CMD	"done, sent"
119	497.2	CMD	"move forward <pause> about ten feet"
120	501.93	CMD	"and take a picture"
121	503.88	DM->CMD	"ok"
122	508.22	DM->RN	"move forward 10 feet"
123	509.79	DM->RN	"then. . ."
124	510.99	DM->RN	"send image"
125	512.99	DM->CMD	"moving. . ."
126	516.839999999999	CMD	"robot stop"
127	526.67	RN	"done and sent"
128	528.839999999999	CMD	"robot turn around"
129	530.73	DM->CMD	"done, sent"
130	530.979999999999	CMD	"and take a picture"
131	535.37	DM->CMD	"ok"
132	537.74	DM->RN	"turn 180"
133	539.09	DM->RN	"then. . ."
134	540.02	DM->RN	"send image"
135	543.57	DM->CMD	"turning. . ."
136	566.56	RN	"done and sent"
137	566.75	DM->CMD	"done, sent"
138	573.109999999999	CMD	"<pause> robot turn around"
139	577.67	DM->CMD	"ok"
140	579.74	DM->RN	"turn 180"
141	581.78	DM->CMD	"I will turn around 180 degrees"
142	584.58	DM->CMD	"turning. . ."
143	599.52	CMD	"move through doorway on your left"
144	609.1	RN	"done "
145	614.64	DM->CMD	"processing. . ."
146	617.25	DM->CMD	"Which doorway?  <beep>"
147	621.5	CMD	"robot turn left"
148	624.619999999999	CMD	"and take a picture"
149	633.54	DM->CMD	"How far should I turn to the left?  <beep>"
150	635.869999999999	CMD	"ninety degrees"
151	639.27	DM->CMD	"ok"
152	641.99	DM->RN	"turn left 90 degrees"
153	643.55	DM->RN	"then. . ."
154	644.85	DM->RN	"send image"
155	654.339999999999	CMD	"robot stop there"
156	659.8	RN	"done and sent"
157	663.44	DM->CMD	"done, sent"
158	674.55	CMD	"<no command>"
159	684.64	CMD	"move forward through the doorway ahead of you"
160	695.5	DM->CMD	"processing. . ."
161	700.74	DM->CMD	"I see more than one doorway.  <beep>"
162	703.67	DM->CMD	"Which doorway?  <beep>"
163	705.51	CMD	"<pause> directly in front of you"
164	711.6	DM->CMD	"processing. . ."
165	735.88	DM->RN	"move to Shovel Start door"
166	741.05	DM->CMD	"moving. . ."
167	766.54	RN	"alright done"
168	768.04	CMD	"send a picture"
169	769.8	DM->CMD	"done"
170	772.43	DM->RN	"send image"
171	773.6	RN	"sent"
172	775.75	DM->CMD	"sent"
173	784.719999999999	CMD	"turn to your right <pause>"
174	787.3	CMD	"and take a picture"
175	791.7	DM->CMD	"How far should I rotate right? <beep>"
176	793.54	CMD	"<pause> one hundred and eighty degrees"
177	800.69	DM->CMD	"ok"
178	803.51	DM->RN	"turn right 180"
179	805.85	DM->RN	"then. . ."
180	806.96	DM->RN	"send image"
181	807.86	DM->CMD	"turning. . ."
182	824.02	RN	"uh done and sent"
183	826.9	DM->CMD	"done, sent"
184	840.939999999999	CMD	"move forward two feeet"
185	843.609999999999	CMD	"and take a picture"
186	846.29	DM->CMD	"ok"
187	848.84	DM->RN	"move forward 2 feet"
188	849.63	DM->CMD	"I will move forward 2 feet"
189	850.64	DM->CMD	"and. . ."
190	851.32	DM->RN	"then. . ."
191	852.52	DM->RN	"send image"
192	853.3	DM->CMD	"I will send a picture"
193	854.92	DM->CMD	"moving. . ."
194	857.55	RN	"uh done and sent"
195	860.29	DM->CMD	"done, sent"
196	869.239999999999	CMD	"uh move um five feet"
197	872.089999999999	CMD	"and take a picture"
198	876.65	DM->CMD	"ok, I think I got it."
199	879.82	DM->RN	"move forward 5 feet"
200	880.64	DM->CMD	"I will move forward 5 feet"
201	881.94	DM->CMD	"and. . ."
202	882.4	DM->RN	"then. . ."
203	883.59	DM->RN	"send image"
204	884.19	DM->CMD	"I will send a picture"
205	885.8	DM->CMD	"moving. . ."
206	893.12	RN	"done and sent"
207	893.91	DM->CMD	"done, sent"
208	894.819999999999	CMD	"back up two feet"
209	896.349999999999	CMD	"and take a picture"
210	899.34	DM->CMD	"ok"
211	907.24	DM->RN	"move back 2 feet"
212	908.36	DM->RN	"then. . ."
213	909.26	DM->RN	"send image"
214	910.91	DM->CMD	"moving. . ."
215	914.75	RN	"done and sent"
216	914.99	DM->CMD	"done, sent"
217	916.479999999999	CMD	"turn forty five degrees to the <pause> left"
218	920.229999999999	CMD	"and take a picture"
219	921.54	DM->CMD	"ok"
220	925.37	DM->RN	"turn left 45 degrees"
221	926.58	DM->RN	"then. . ."
222	927.65	DM->RN	"send image"
223	928.96	DM->CMD	"turning. . ."
224	935.52	RN	"done and sent"
225	937.77	DM->CMD	"done, sent"
226	944.56	CMD	"move one foot closer"
227	946.569999999999	CMD	"and take a picture"
228	949.93	DM->CMD	"ok, I think I got it."
229	952.42	DM->RN	"move forward 1 foot"
230	953.27	DM->CMD	"I will move forward 1 foot"
231	954.45	DM->CMD	"and. . ."
232	955.08	DM->RN	"then. . ."
233	955.93	DM->RN	"send image"
234	956.7	DM->CMD	"I will send a picture"
235	960.2	RN	"uh done and sent"
236	961.77	DM->CMD	"done, sent"
237	968.27	CMD	"robot turn forty five degrees"
238	970.91	CMD	"and move through the <pause> door ahead of you"
239	978.75	DM->CMD	"processing. . ."
240	982.5	DM->CMD	"Which direction should I turn?  <beep>"
241	984.54	CMD	"<no command>"
242	987.579999999999	CMD	"turn left forty five degrees"
243	993.28	DM->CMD	"ok"
244	996.03	DM->RN	"turn left 45 degrees"
245	997.06	DM->CMD	"I will turn left 45 degrees"
246	1000.04	DM->CMD	"turning. . ."
247	1005.81	RN	"uh done"
248	1007.10999999999	CMD	"turn left <pause> ninety degrees"
249	1007.32	DM->CMD	"done"
250	1013.65	DM->CMD	"ok"
251	1017.1	DM->RN	"turn left 90 degrees"
252	1018.88	CMD	"robot turn left ninety"
253	1020.03	DM->CMD	"turning. . ."
254	1033.91999999999	RN	"done"
255	1036.04	DM->CMD	"done"
256	1038.79	CMD	"send a picture"
257	1040.87	DM->RN	"send image"
258	1042.05	RN	"sent"
259	1043.35	DM->CMD	"sent"
260	1050.13999999999	CMD	"<pause> uh robot turn ninety degrees left"
261	1056.68	DM->CMD	"ok"
262	1059.93	DM->RN	"turn left 90 degrees"
263	1060.63	DM->CMD	"I will turn left 90 degrees"
264	1062.9	DM->CMD	"turning. . ."
265	1079.33	RN	"uh done"
266	1080.2	CMD	"move forward to door on your right"
267	1082.47	DM->CMD	"done"
268	1087.33	DM->CMD	"processing. . ."
269	1094.73	DM->RN	"move to Cleaning room - hall doorway"
270	1099.05	DM->CMD	"moving. . ."
271	1110.03	RN	"okay done"
272	1111.4	DM->CMD	"done"
273	1112.52	CMD	"go through door on your right"
274	1115.48	CMD	"and take a picture"
275	1119.97	DM->CMD	"ok"
276	1124.87	DM->RN	"move into Cleaning room"
277	1127.16	DM->RN	"then. . ."
278	1128.16	DM->RN	"send image"
279	1129.27	DM->CMD	"moving. . ."
280	1140.87999999999	RN	"done and sent"
281	1142.43	DM->CMD	"done, sent"
282	1144.99	CMD	"back up two feet"
283	1149.16	DM->CMD	"ok"
284	1156.76	DM->RN	"move back 2 feet"
285	1157.95	DM->CMD	"moving. . ."
286	1164.59	RN	"done"
287	1165.94	DM->CMD	"done"
288	1166.55	CMD	"send a picture"
289	1168.51	DM->RN	"send image"
290	1169.48999999999	RN	"sent"
291	1170.78	DM->CMD	"sent"
292	1176.85	CMD	"back up two p back up two feet"
293	1179.67999999999	CMD	"and take a picture"
294	1181.85	DM->CMD	"ok"
295	1188.26	DM->RN	"move back 2 feet"
296	1189.47	DM->RN	"then. . ."
297	1190.62	DM->RN	"send image"
298	1192.12	DM->CMD	"moving. . ."
299	1195.52	RN	"done and sent"
300	1195.68	DM->CMD	"done, sent"
301	1198.76	CMD	"move through the doorway <pause>"
302	1201.33	CMD	"and<pause> turn to your left turn forty five degrees to your left"
303	1208.83	DM->CMD	"ok"
304	1211.68	DM->RN	"move into Cleaning room"
305	1214.59	DM->RN	"then. . ."
306	1216.81	DM->RN	"turn left 45 degrees"
307	1218.53	DM->CMD	"moving. . ."
308	1224.17	DM->CMD	"turning. . ."
309	1230.63999999999	RN	"done"
310	1232.01	DM->CMD	"done"
311	1254.84	CMD	"mhm"
312	1255.85	CMD	"<a: okay>"
313	1256.71	CMD	"<a: um how many doorways were there>"
314	1259.32	CMD	"um i counted six but i don't think i got all of em"
315	1262.09	CMD	"<a: okay six good>"
316	1262.90999999999	CMD	"<a: how many shoes were there>"
317	1264.95	CMD	"um one"
318	1265.69	CMD	"<a: one shoe >"
319	1266.37999999999	CMD	"mhm"
320	1266.84	CMD	"<a: good>"
321	1267.17999999999	CMD	"<a: um do you think there's anything  that indicates the environment has recently been occupied>"
322	1272.47	CMD	"uh yes the tv that was left behind with objects  on the tv stand i couldn't see what they were but"
323	1277.38999999999	CMD	"<a: okay>"
324	1277.92999999999	CMD	"and then the pictures on the wall and there were papers on the wall"
325	1282.85	CMD	"<a:okay>"
326	1283.26	CMD	"so the it's people had been there"
327	1285.12999999999	CMD	"<a: okay great thanks>"
328	1288.64	DM->CMD	"Good job!"
