id	time	stream	text
0	0	CMD	"(calibrate)"
1	2018-08-16 14:39:19.07	DM->RN	"ok"
2	2018-08-16 15:00:57.07	DM->CMD	"calibrating. . ."
3	2018-08-16 15:01:13.37	RN	"<X: audio sync in three two one>"
4	2018-08-16 15:01:13.40	CMD	"<X: audio sync in three two one>"
5	2018-08-16 15:01:15.96	RN	"<loud noise>"
6	2018-08-16 15:01:15.96	CMD	"<loud noise>"
7	2018-08-16 15:01:21.16	DM->CMD	"calibration complete"
8	2018-08-16 15:01:46.25	CMD	"i am ready"
9	2018-08-16 15:01:48.16	DM->RN	"participant is ready"
10	2018-08-16 15:01:50.48	DM->CMD	"Hello! <beep>"
11	2018-08-16 15:01:52.64	DM->CMD	"Thanks for teaming up with me today."
12	2018-08-16 15:01:55.30	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."
13	2018-08-16 15:01:58.57	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."
14	2018-08-16 15:02:02.75	DM->CMD	"You can ask for help at any time."
15	2018-08-16 15:02:06.31	CMD	"move forward"
16	2018-08-16 15:02:08.99	CMD	"<notification sound>"
17	2018-08-16 15:02:09.00	DM->CMD	"How far should I move forward? <beep>"
18	2018-08-16 15:02:12.61	CMD	"hmm"
19	2018-08-16 15:02:13.91	CMD	"twenty feet"
20	2018-08-16 15:02:15.73	DM->CMD	"processing. . ."
21	2018-08-16 15:02:23.16	DM->RN	"move forward 20 feet"
22	2018-08-16 15:02:25.00	DM->CMD	"moving. . ."
23	2018-08-16 15:02:41.20	RN	"done"
24	2018-08-16 15:02:41.89	DM->CMD	"done"
25	2018-08-16 15:02:46.40	CMD	"move forward ten feet"
26	2018-08-16 15:02:52.12	DM->CMD	"I will move forward 10 feet"
27	2018-08-16 15:02:54.85	DM->RN	"move forward 10 feet"
28	2018-08-16 15:02:57.23	DM->CMD	"moving. . ."
29	2018-08-16 15:03:00.87	CMD	"stop"
30	2018-08-16 15:03:02.93	DM->RN	"stop"
31	2018-08-16 15:03:04.75	RN	"done"
32	2018-08-16 15:03:07.07	CMD	"turn to the left ninety degrees"
33	2018-08-16 15:03:07.57	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"
34	2018-08-16 15:03:10.64	DM->CMD	"processing. . ."
35	2018-08-16 15:03:16.84	DM->RN	"turn left 90 degrees"
36	2018-08-16 15:03:19.72	DM->CMD	"turning. . ."
37	2018-08-16 15:03:25.39	RN	"done"
38	2018-08-16 15:03:25.50	CMD	"take a picture"
39	2018-08-16 15:03:26.39	DM->CMD	"I turned left 90 degrees"
40	2018-08-16 15:03:29.23	DM->RN	"send image"
41	2018-08-16 15:03:30.65	RN	"sent"
42	2018-08-16 15:03:31.27	DM->CMD	"sent"
43	2018-08-16 15:03:35.52	CMD	"turn right <pause .53> a hundred degrees"
44	2018-08-16 15:03:40.45	DM->CMD	"processing. . ."
45	2018-08-16 15:03:47.64	DM->RN	"turn right 100 degrees"
46	2018-08-16 15:03:49.49	DM->CMD	"turning. . ."
47	2018-08-16 15:03:57.88	RN	"done"
48	2018-08-16 15:03:58.04	CMD	"turn right forty degree"
49	2018-08-16 15:03:58.50	DM->CMD	"done"
50	2018-08-16 15:04:02.31	DM->CMD	"processing. . ."
51	2018-08-16 15:04:06.08	DM->RN	"turn right 45 degrees"
52	2018-08-16 15:04:08.95	DM->CMD	"turning. . ."
53	2018-08-16 15:04:12.53	RN	"done"
54	2018-08-16 15:04:12.57	CMD	"turn left ten degrees"
55	2018-08-16 15:04:13.66	DM->CMD	"done"
56	2018-08-16 15:04:20.23	DM->RN	"turn left 10 degrees"
57	2018-08-16 15:04:23.33	DM->CMD	"turning. . ."
58	2018-08-16 15:04:24.28	CMD	"take a picture"
59	2018-08-16 15:04:24.31	RN	"done"
60	2018-08-16 15:04:25.09	DM->CMD	"done"
61	2018-08-16 15:04:26.41	DM->RN	"send image"
62	2018-08-16 15:04:27.67	RN	"sent"
63	2018-08-16 15:04:28.88	DM->CMD	"sent"
64	2018-08-16 15:04:37.68	CMD	"turn left ten degrees"
65	2018-08-16 15:04:41.30	DM->CMD	"processing. . ."
66	2018-08-16 15:04:47.19	DM->RN	"turn left 10 degrees"
67	2018-08-16 15:04:49.04	DM->CMD	"turning. . ."
68	2018-08-16 15:04:50.45	RN	"done"
69	2018-08-16 15:04:51.15	DM->CMD	"done"
70	2018-08-16 15:04:55.71	CMD	"turn left thirty degrees"
71	2018-08-16 15:04:59.57	DM->CMD	"processing. . ."
72	2018-08-16 15:05:06.06	DM->RN	"turn left 30 degrees"
73	2018-08-16 15:05:07.63	DM->CMD	"turning. . ."
74	2018-08-16 15:05:10.01	RN	"done"
75	2018-08-16 15:05:10.73	DM->CMD	"done"
76	2018-08-16 15:05:13.68	CMD	"move forward ten feet"
77	2018-08-16 15:05:19.81	DM->CMD	"processing. . ."
78	2018-08-16 15:05:23.29	DM->RN	"move forward 10 feet"
79	2018-08-16 15:05:25.90	DM->CMD	"moving. . ."
80	2018-08-16 15:05:32.54	CMD	"stop"
81	2018-08-16 15:05:34.32	RN	"done"
82	2018-08-16 15:05:34.95	DM->CMD	"done"
83	2018-08-16 15:05:36.70	CMD	"turn right one hundred eighty degrees"
84	2018-08-16 15:05:37.39	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"
85	2018-08-16 15:05:48.23	CMD	"turn right one hundred eighty degrees"
86	2018-08-16 15:05:49.84	DM->CMD	"processing. . ."
87	2018-08-16 15:05:53.30	DM->RN	"turn right 180"
88	2018-08-16 15:05:55.78	DM->CMD	"turning. . ."
89	2018-08-16 15:06:08.02	RN	"done"
90	2018-08-16 15:06:09.06	DM->CMD	"done"
91	2018-08-16 15:06:09.45	CMD	"go forward fifty feet"
92	2018-08-16 15:06:20.74	DM->CMD	"Hmm. . ."
93	2018-08-16 15:06:24.39	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"
94	2018-08-16 15:06:26.23	CMD	"go forward thirty feet"
95	2018-08-16 15:06:30.10	DM->CMD	"processing. . ."
96	2018-08-16 15:06:36.07	DM->CMD	"I will move forward as far as I can, ok?  <beep>"
97	2018-08-16 15:06:39.79	CMD	"okay"
98	2018-08-16 15:06:40.09	DM->RN	"move to front wall ahead"
99	2018-08-16 15:06:44.63	DM->CMD	"moving. . ."
100	2018-08-16 15:07:10.68	CMD	"stop"
101	2018-08-16 15:07:14.48	RN	"done"
102	2018-08-16 15:07:19.10	DM->CMD	"done"
103	2018-08-16 15:07:23.29	CMD	"turn right one hundred and eighty five degrees"
104	2018-08-16 15:07:27.91	DM->CMD	"processing. . ."
105	2018-08-16 15:07:34.02	DM->RN	"turn right 185 degrees"
106	2018-08-16 15:07:36.36	DM->CMD	"turning. . ."
107	2018-08-16 15:07:50.87	RN	"done"
108	2018-08-16 15:07:52.76	DM->CMD	"done"
109	2018-08-16 15:07:54.34	CMD	"take a picture"
110	2018-08-16 15:07:57.37	DM->RN	"send image"
111	2018-08-16 15:07:58.42	RN	"sent"
112	2018-08-16 15:07:59.20	DM->CMD	"sent"
113	2018-08-16 15:08:11.94	CMD	"go forward eight feet"
114	2018-08-16 15:08:17.15	DM->CMD	"processing. . ."
115	2018-08-16 15:08:24.21	DM->RN	"move forward 8 feet"
116	2018-08-16 15:08:26.45	DM->CMD	"moving. . ."
117	2018-08-16 15:08:31.22	CMD	"stop"
118	2018-08-16 15:08:33.02	RN	"done"
119	2018-08-16 15:08:34.89	DM->CMD	"done"
120	2018-08-16 15:08:37.33	CMD	"move backward two feet"
121	2018-08-16 15:08:37.88	DM->CMD	"There's too much lag in our communications for instantaneous instructions.  <beep>"
122	2018-08-16 15:08:41.01	DM->CMD	"processing. . ."
123	2018-08-16 15:08:51.31	DM->RN	"move back 2 feet"
124	2018-08-16 15:08:53.15	DM->CMD	"moving. . ."
125	2018-08-16 15:08:56.40	RN	"done"
126	2018-08-16 15:08:57.49	CMD	"turn left eighty five degrees"
127	2018-08-16 15:08:58.05	DM->CMD	"done"
128	2018-08-16 15:09:01.68	DM->CMD	"processing. . ."
129	2018-08-16 15:09:10.23	DM->RN	"turn left 85 degrees"
130	2018-08-16 15:09:12.13	DM->CMD	"turning. . ."
131	2018-08-16 15:09:18.66	RN	"<breath>"
132	2018-08-16 15:09:19.22	RN	"done"
133	2018-08-16 15:09:20.90	DM->CMD	"done"
134	2018-08-16 15:09:54.91	CMD	"<X: um so>"
135	2018-08-16 15:10:20.61	CMD	"<X: xxx keep going>"
136	2018-08-16 15:10:21.19	CMD	"<X: let me know when you're>"
137	2018-08-16 15:10:22.65	CMD	"take a picture"
138	2018-08-16 15:10:26.71	DM->RN	"send image"
139	2018-08-16 15:10:27.72	RN	"sent"
140	2018-08-16 15:10:28.28	DM->CMD	"sent"
141	2018-08-16 15:10:49.29	CMD	"turn left forty degrees"
142	2018-08-16 15:10:51.20	DM->CMD	"If you're having trouble figuring out how far I should move or turn to get to something, you can always try telling me to go directly to whatever you are interested in.  <beep>"
143	2018-08-16 15:10:53.78	DM->CMD	"processing. . ."
144	2018-08-16 15:11:00.62	DM->RN	"turn left 40 degrees"
145	2018-08-16 15:11:02.50	DM->CMD	"turning. . ."
146	2018-08-16 15:11:04.97	RN	"<breath>"
147	2018-08-16 15:11:05.60	RN	"done"
148	2018-08-16 15:11:07.21	DM->CMD	"done"
149	2018-08-16 15:11:11.62	CMD	"turn left ten degrees"
150	2018-08-16 15:11:16.40	DM->CMD	"processing. . ."
151	2018-08-16 15:11:20.63	DM->RN	"turn left 10 degrees"
152	2018-08-16 15:11:22.30	RN	"<breath>"
153	2018-08-16 15:11:22.89	RN	"done"
154	2018-08-16 15:11:23.71	CMD	"go forward five feet"
155	2018-08-16 15:11:23.77	DM->CMD	"turning. . ."
156	2018-08-16 15:11:25.89	DM->CMD	"done"
