id	time	stream	text
0	0	CMD	"(calibrate)"
1	2018-09-19 14:15:16.66	DM->CMD	"calibrating. . ."
2	2018-09-19 14:15:19.88	DM->RN	"calibrate"
3	2018-09-19 14:15:53.90	CMD	"<X: audio sync in three two one>"
4	2018-09-19 14:15:53.92	RN	"<X: audio sync in three two one>"
5	2018-09-19 14:15:57.94	RN	"<loud noise>"
6	2018-09-19 14:15:57.94	CMD	"<loud noise>"
7	2018-09-19 14:16:00.25	CMD	"<X: okay you can let it up>"
8	2018-09-19 14:16:07.42	DM->CMD	"calibration complete"
9	2018-09-19 14:16:11.16	CMD	"i am ready"
10	2018-09-19 14:16:17.35	DM->CMD	"Hello! <beep>"
11	2018-09-19 14:16:20.12	DM->CMD	"Thanks for teaming up with me today."
12	2018-09-19 14:16:25.40	DM->CMD	"Please be aware that there may be lag times in receiving and processing your requests."
13	2018-09-19 14:16:32.96	DM->CMD	"I'll give you feedback on what I'm doing, let you know if there is a problem, and I may ask for more information."
14	2018-09-19 14:16:42.27	DM->CMD	"You can ask for help at any time."
15	2018-09-19 14:16:49.07	DM->CMD	"I'm also ready.  <beep>"
16	2018-09-19 14:17:36.05	CMD	"robot go up the stairs"
17	2018-09-19 14:17:39.90	CMD	"north"
18	2018-09-19 14:17:43.01	DM->CMD	"processing. . ."
19	2018-09-19 14:17:56.24	DM->CMD	"I will turn to face North"
20	2018-09-19 14:17:57.00	DM->RN	"turn to face North"
21	2018-09-19 14:18:05.73	DM->CMD	"turning. . ."
22	2018-09-19 14:18:08.16	RN	"done"
23	2018-09-19 14:18:10.02	DM->CMD	"done"
24	2018-09-19 14:18:29.99	CMD	"go up"
25	2018-09-19 14:18:35.61	DM->CMD	"processing. . ."
26	2018-09-19 14:18:46.18	DM->CMD	"How far forward should I go?  <beep>"
27	2018-09-19 14:18:53.20	CMD	"just a few steps"
28	2018-09-19 14:18:58.43	DM->CMD	"processing. . ."
29	2018-09-19 14:19:15.32	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"
30	2018-09-19 14:19:26.30	CMD	"move towards the stairs"
31	2018-09-19 14:19:30.23	CMD	"towards the right"
32	2018-09-19 14:19:33.78	DM->CMD	"processing. . ."
33	2018-09-19 14:19:52.99	DM->CMD	"I'm unsure which object you mean.  <beep>"
34	2018-09-19 14:20:07.09	CMD	"just go up"
35	2018-09-19 14:20:14.29	DM->CMD	"processing. . ."
36	2018-09-19 14:20:22.47	DM->CMD	"How far forward should I go?  <beep>"
37	2018-09-19 14:20:25.53	CMD	"just go up a few steps"
38	2018-09-19 14:20:31.46	DM->CMD	"processing. . ."
39	2018-09-19 14:20:43.35	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"
40	2018-09-19 14:20:59.75	CMD	"move up"
41	2018-09-19 14:21:04.21	DM->CMD	"processing. . ."
42	2018-09-19 14:21:11.57	DM->CMD	"How far forward should I go?  <beep>"
43	2018-09-19 14:21:16.18	CMD	"five steps up"
44	2018-09-19 14:21:20.00	DM->CMD	"processing. . ."
45	2018-09-19 14:21:37.35	DM->CMD	"How far forward should I go?  <beep>"
46	2018-09-19 14:22:03.31	CMD	"move to the right"
47	2018-09-19 14:22:08.26	DM->CMD	"processing. . ."
48	2018-09-19 14:22:18.02	DM->CMD	"How far should I turn to the right?  <beep>"
49	2018-09-19 14:22:20.97	CMD	"move to the right five steps"
50	2018-09-19 14:22:32.68	DM->CMD	"processing. . ."
51	2018-09-19 14:22:45.19	DM->CMD	"How far should I turn to the right?  <beep>"
52	2018-09-19 14:22:46.80	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"
53	2018-09-19 14:23:09.69	CMD	"go up"
54	2018-09-19 14:23:14.73	CMD	"five steps"
55	2018-09-19 14:23:18.09	DM->CMD	"processing. . ."
56	2018-09-19 14:23:28.54	DM->CMD	"Hmm, I'm not sure what you would like me to do. <beep>"
57	2018-09-19 14:23:32.21	DM->CMD	"Would you like me to send a picture?  <beep>"
58	2018-09-19 14:23:36.01	CMD	"yes"
59	2018-09-19 14:23:41.92	DM->RN	"send image"
60	2018-09-19 14:23:43.78	RN	"sent"
61	2018-09-19 14:23:45.19	DM->CMD	"sent"
62	2018-09-19 14:24:07.38	CMD	"go straight"
63	2018-09-19 14:24:12.42	DM->CMD	"processing. . ."
64	2018-09-19 14:24:21.79	DM->CMD	"I'm not sure where or when to stop moving forward.  <beep>"
65	2018-09-19 14:24:30.79	CMD	"go ninety degrees straight"
66	2018-09-19 14:24:33.64	CMD	"up north"
67	2018-09-19 14:24:38.79	DM->CMD	"processing. . ."
68	2018-09-19 14:24:50.69	DM->CMD	"You can tell me to move a certain distance or to move to an object.  <beep>"
69	2018-09-19 14:24:54.75	CMD	"go towards the cone"
70	2018-09-19 14:24:58.94	DM->CMD	"processing. . ."
71	2018-09-19 14:25:06.87	DM->RN	"move to Room 1 cone"
72	2018-09-19 14:25:11.15	DM->CMD	"moving. . ."
73	2018-09-19 14:25:22.56	RN	"done"
74	2018-09-19 14:25:23.94	DM->CMD	"done"
75	2018-09-19 14:25:29.19	CMD	"take a picture of the doorway"
76	2018-09-19 14:25:33.67	DM->RN	"send image"
77	2018-09-19 14:25:34.56	RN	"sent"
78	2018-09-19 14:25:36.04	DM->CMD	"sent"
79	2018-09-19 14:25:46.12	DM->CMD	"processing. . ."
80	2018-09-19 14:25:52.79	DM->CMD	"How far should I turn to the left?  <beep>"
81	2018-09-19 14:25:59.03	CMD	"go three steps left"
82	2018-09-19 14:26:06.96	DM->CMD	"processing. . ."
83	2018-09-19 14:26:17.89	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"
84	2018-09-19 14:26:23.58	CMD	"face the hallway"
85	2018-09-19 14:26:30.64	DM->CMD	"processing. . ."
86	2018-09-19 14:26:46.71	DM->CMD	"I'm not sure what you are asking me to do.  <beep>"
87	2018-09-19 14:26:48.26	CMD	"<notification sound>"
88	2018-09-19 14:26:48.66	DM->CMD	"You can tell me to turn a number of degrees or to face something.  <beep>"
89	2018-09-19 14:26:54.75	CMD	"turn towards the doorway"
90	2018-09-19 14:27:00.63	DM->CMD	"processing. . ."
91	2018-09-19 14:27:17.40	DM->RN	"turn to face alley Door 1"
92	2018-09-19 14:27:28.41	RN	"done"
93	2018-09-19 14:27:29.58	DM->CMD	"done"
