id	time	stream	text
0	0	CMD	"(calibrate)"
1	2018-08-23 14:56:25.73	DM->CMD	"calibrating. . ."
2	2018-08-23 14:56:28.49	DM->RN	"calibrate"
3	2018-08-23 14:57:00.52	RN	"<X: audio sync in three two one>"
4	2018-08-23 14:57:00.57	CMD	"<X: audio sync in three two one>"
5	2018-08-23 14:57:04.20	RN	"<loud noise>"
6	2018-08-23 14:57:04.20	CMD	"<loud noise>"
7	2018-08-23 14:57:16.78	DM->CMD	"calibration complete"
8	2018-08-23 14:57:26.86	CMD	"i am ready"
9	2018-08-23 14:57:32.60	DM->CMD	"I'm also ready.  <beep>"
10	2018-08-23 14:57:48.23	CMD	"can you first scan the area you haven't scanned yet"
11	2018-08-23 14:57:55.25	DM->CMD	"processing. . ."
12	2018-08-23 14:58:06.75	DM->CMD	"Hmm, I'm not sure what you would like me to do. <beep>"
13	2018-08-23 14:58:13.37	CMD	"can you turn fifteen degrees to your right"
14	2018-08-23 14:58:17.93	DM->CMD	"ok"
15	2018-08-23 14:58:21.94	DM->RN	"turn right 15 degrees"
16	2018-08-23 14:58:24.36	DM->CMD	"turning. . ."
17	2018-08-23 14:58:25.67	RN	"done"
18	2018-08-23 14:58:27.20	DM->CMD	"done"
19	2018-08-23 14:58:39.10	CMD	"take a photo please"
20	2018-08-23 14:58:41.94	DM->RN	"send image"
21	2018-08-23 14:58:42.55	RN	"sent"
22	2018-08-23 14:58:44.47	DM->CMD	"sent"
23	2018-08-23 14:59:18.23	CMD	"please move towards that um dark orange or brown bucket in front of you"
24	2018-08-23 14:59:26.94	DM->CMD	"processing. . ."
25	2018-08-23 15:00:03.02	DM->RN	"move to orange bucket"
26	2018-08-23 15:00:08.75	DM->CMD	"executing. . ."
27	2018-08-23 15:00:15.59	RN	"done"
28	2018-08-23 15:00:20.00	DM->CMD	"done"
29	2018-08-23 15:00:27.19	CMD	"take a photo of the object"
30	2018-08-23 15:00:32.47	DM->CMD	"ok"
31	2018-08-23 15:00:34.14	DM->RN	"send image"
32	2018-08-23 15:00:34.51	RN	"sent"
33	2018-08-23 15:00:37.11	DM->CMD	"sent"
34	2018-08-23 15:01:21.19	CMD	"turn to your right ninety degrees"
35	2018-08-23 15:01:27.31	DM->CMD	"processing. . ."
36	2018-08-23 15:01:29.30	DM->RN	"turn right 90 degrees"
37	2018-08-23 15:01:37.20	RN	"done"
38	2018-08-23 15:01:38.79	DM->CMD	"I turned right 90 degrees"
39	2018-08-23 15:01:41.63	CMD	"take a photo"
40	2018-08-23 15:01:44.46	DM->RN	"send image"
41	2018-08-23 15:01:44.82	RN	"sent"
42	2018-08-23 15:01:47.17	DM->CMD	"sent"
43	2018-08-23 15:02:10.93	CMD	"please move towards that yellow object in front of you"
44	2018-08-23 15:02:20.97	DM->CMD	"ok"
45	2018-08-23 15:02:26.65	DM->CMD	"processing. . ."
46	2018-08-23 15:02:55.92	DM->RN	"move to yellow cone"
47	2018-08-23 15:03:04.90	RN	"done"
48	2018-08-23 15:03:07.55	CMD	"take a photo"
49	2018-08-23 15:03:08.40	DM->CMD	"done"
50	2018-08-23 15:03:10.55	DM->RN	"send image"
51	2018-08-23 15:03:10.87	RN	"sent"
52	2018-08-23 15:03:12.93	DM->CMD	"sent"
53	2018-08-23 15:03:44.27	CMD	"turn to your right twenty degrees"
54	2018-08-23 15:03:47.88	DM->CMD	"ok"
55	2018-08-23 15:03:51.97	DM->RN	"turn right 20 degrees"
56	2018-08-23 15:03:54.53	DM->CMD	"turning. . ."
57	2018-08-23 15:03:56.13	RN	"done"
58	2018-08-23 15:03:58.23	DM->CMD	"done"
59	2018-08-23 15:03:58.70	CMD	"take a photo <phot>"
60	2018-08-23 15:04:01.59	DM->RN	"send image"
61	2018-08-23 15:04:02.14	RN	"sent"
62	2018-08-23 15:04:04.09	DM->CMD	"sent"
63	2018-08-23 15:04:23.61	CMD	"turn to your right twenty five degrees"
64	2018-08-23 15:04:29.38	DM->CMD	"ok"
65	2018-08-23 15:04:31.17	CMD	"take a photo <phot>"
66	2018-08-23 15:04:34.67	DM->RN	"turn right 25 degrees"
67	2018-08-23 15:04:35.97	DM->RN	"then. . ."
68	2018-08-23 15:04:36.96	DM->RN	"send image"
69	2018-08-23 15:04:39.08	DM->CMD	"turning. . ."
70	2018-08-23 15:04:42.33	RN	"done and sent"
71	2018-08-23 15:04:44.38	DM->CMD	"done, sent"
